id,pval_(Intercept),adj.pvalue,pval_sig,LogFC_(Intercept),LogFC (Higher is Higher in Spring)
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella,0.931146506,0.198786627,0,-0.010737259,-0.406907212
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Enterorhabdus,0.931146506,0.946080078,0,-0.010737259,-0.040703116
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__FS118-23B-02;f__FS118-23B-02;g__FS118-23B-02,0.197726567,0.194499334,0,1.218889225,-1.405484637
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__OPB41;f__OPB41;g__OPB41,2.12E-36,0.798566685,0,3.773952875,-0.078091973
d__Bacteria;p__Actinobacteriota;c__MB-A2-108;o__MB-A2-108;f__MB-A2-108;g__MB-A2-108,0.004683175,8.63E-06,1,1.354044261,-2.137892829
d__Bacteria;p__Actinobacteriota;c__RBG-16-55-12;o__RBG-16-55-12;f__RBG-16-55-12;g__RBG-16-55-12,0.021859531,0.151258563,0,2.8552746,-2.057479125
d__Bacteria;p__Actinobacteriota;c__Rubrobacteria;o__Rubrobacterales;f__Rubrobacteriaceae;g__Rubrobacter,0.19905867,0.034020819,1,1.201791461,-1.985640028
d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Gaiellales;__;__,0.931146506,0.993428473,0,-0.010737259,-0.005582944
d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Gaiellales;f__Gaiellaceae;g__Gaiella,0.186574024,0.002339495,1,0.756791105,1.923423747
d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Gaiellales;f__uncultured;g__uncultured,8.06E-50,0.004066908,1,5.392166349,-1.093888084
d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales;f__67-14;g__67-14,0.008909368,0.181993228,0,3.478408339,-1.820101702
d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;__,0.931146506,0.88854842,0,-0.010737259,-0.079964128
d__Bacteria;p__Actinobacteriota;c__WCHB1-81;o__WCHB1-81;f__WCHB1-81;g__WCHB1-81,0.007839989,0.65216842,0,3.05250588,-0.532486274
d__Bacteria;p__AncK6;c__AncK6;o__AncK6;f__AncK6;g__AncK6,0.931146506,1.75E-89,1,-0.010737259,2.8232184
d__Bacteria;p__Armatimonadota;__;__;__;__,0.931146506,0.794907969,0,-0.010737259,0.208368351
d__Bacteria;p__Armatimonadota;c__Armatimonadia;o__Armatimonadales;f__Armatimonadales;g__Armatimonadales,0.931146506,0.745496692,0,-0.010737259,-0.175858152
d__Bacteria;p__Armatimonadota;c__Chthonomonadetes;o__Chthonomonadales;f__Chthonomonadaceae;g__Chthonomonas,0.931146506,0.198786627,0,-0.010737259,-0.406907212
d__Bacteria;p__Armatimonadota;c__Chthonomonadetes;o__Chthonomonadales;f__Chthonomonadales;g__Chthonomonadales,0.931146506,1.32E-42,1,-0.010737259,2.447063316
d__Bacteria;p__Armatimonadota;c__DG-56;o__DG-56;f__DG-56;g__DG-56,0.194817591,6.48E-04,1,1.062221349,2.890838745
d__Bacteria;p__Armatimonadota;c__Fimbriimonadia;o__Fimbriimonadales;__;__,0.931146506,0.315554228,0,-0.010737259,0.623440272
d__Bacteria;p__Armatimonadota;c__Fimbriimonadia;o__Fimbriimonadales;f__Fimbriimonadaceae;g__Fimbriimonadaceae,0.931146506,2.51E-36,1,-0.010737259,3.209642027
d__Bacteria;p__Armatimonadota;c__uncultured;o__uncultured;f__uncultured;g__uncultured,0.931146506,4.71E-98,1,-0.010737259,4.874859981
d__Bacteria;p__Bacteria;c__Bacteria;o__Bacteria;f__Bacteria;g__Bacteria,0.931146506,0.243293642,0,-0.010737259,0.79371548
d__Bacteria;p__Bacteroidota;__;__;__;__,0.931146506,0.837488656,0,-0.010737259,0.151084932
d__Bacteria;p__Bacteroidota;c__Bacteroidia;__;__;__,0.931146506,1.78E-05,1,-0.010737259,1.345591245
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;__;__,0.931146506,8.78E-13,1,-0.010737259,2.890287337
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides,0.931146506,8.43E-37,1,-0.010737259,6.577449332
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidetes_BD2-2;g__Bacteroidetes_BD2-2,0.126709762,0.983340799,0,1.766835672,0.024866982
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidetes_vadinHA17;g__Bacteroidetes_vadinHA17,0.040810825,3.00E-14,1,1.691244565,6.288118687
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Barnesiellaceae;g__Barnesiella,0.931146506,7.85E-15,1,-0.010737259,2.789351724
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Barnesiellaceae;g__Coprobacter,0.931146506,0.3812766,0,-0.010737259,0.53089636
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Barnesiellaceae;g__uncultured,0.931146506,0.765264052,0,-0.010737259,0.241729504
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Dysgonomonadaceae;g__Dysgonomonas,0.931146506,0.944341448,0,-0.010737259,-0.040703116
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Dysgonomonadaceae;g__Petrimonas,0.931146506,0.711765699,0,-0.010737259,-0.175858152
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__F082;g__F082,0.931146506,0.43115891,0,-0.010737259,0.412004712
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__GZKB124;g__GZKB124,0.931146506,0.631681984,0,-0.010737259,-0.236632004
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Butyricimonas,0.931146506,0.834576819,0,-0.010737259,0.17129314
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Odoribacter,0.931146506,0.371446713,0,-0.010737259,0.63339126
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Muribaculaceae,0.931146506,2.83E-80,1,-0.010737259,5.295440475
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Muribaculum,0.931146506,0.141367806,0,-0.010737259,1.263304553
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Paludibacteraceae;g__Microbacter,0.931146506,0.904310475,0,-0.010737259,0.081871811
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Paludibacteraceae;g__Paludibacter,0.931146506,2.30E-16,1,-0.010737259,2.695460801
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Paludibacteraceae;g__uncultured,0.931146506,1.56E-117,1,-0.010737259,3.562320981
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas,0.931146506,9.16E-42,1,-0.010737259,2.740243486
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Alloprevotella,0.931146506,3.62E-08,1,-0.010737259,2.397037013
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Paraprevotella,0.931146506,0.003229083,1,-0.010737259,1.597120733
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella,0.931146506,4.46E-12,1,-0.010737259,5.010917105
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotellaceae_Ga6A1_group,0.931146506,0.745496692,0,-0.010737259,-0.175858152
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotellaceae_UCG-001,0.931146506,9.03E-07,1,-0.010737259,1.673401257
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotellaceae_UCG-004,0.931146506,0.722225197,0,-0.010737259,-0.175858152
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prolixibacteraceae;__,0.190191943,0.009156688,1,0.788561165,-1.572409733
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prolixibacteraceae;g__BSV13,0.931146506,1.47E-05,1,-0.010737259,2.689322567
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prolixibacteraceae;g__Prolixibacter,0.073602735,0.013906023,1,2.086452454,-2.870301021
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prolixibacteraceae;g__Roseimarinus,0.931146506,0.520903708,0,-0.010737259,0.2998473
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prolixibacteraceae;g__uncultured,0.931146506,1.41E-23,1,-0.010737259,2.36560012
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prolixibacteraceae;g__WCHB1-32,0.931146506,0.992927966,0,-0.010737259,-0.005582944
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes,0.931146506,1.52E-61,1,-0.010737259,4.291546469
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__M2PB4-61_termite_group,0.931146506,0.172859688,0,-0.010737259,-0.406907212
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Rikenellaceae_RC9_gut_group,0.931146506,0.002855032,1,-0.010737259,1.564260456
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__SB-5;g__SB-5,0.005942585,0.0174562,1,2.555272464,2.2082092
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;__,0.931146506,4.78E-29,1,-0.010737259,1.725402673
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides,0.931146506,1.01E-12,1,-0.010737259,3.338355323
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Tannerella,0.931146506,0.869157567,0,-0.010737259,0.129572092
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Williamwhitmaniaceae;g__uncultured,0.931146506,0.259457501,0,-0.010737259,-0.406907212
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;__;__,0.931146506,0.745496692,0,-0.010737259,-0.175858152
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__37-13;g__37-13,0.931146506,1.25E-04,1,-0.010737259,0.748338089
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Edaphobaculum,0.931146506,0.127844507,0,-0.010737259,1.152772799
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Ferruginibacter,0.931146506,0.279773155,0,-0.010737259,0.691705077
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Heliimonas,0.931146506,0.296871926,0,-0.010737259,0.674823832
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Segetibacter,0.931146506,0.88854842,0,-0.010737259,-0.079964128
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;__,0.201399081,0.04475906,1,1.370307649,-2.154156217
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__Phaeodactylibacter,0.349790291,0.020187626,1,0.525742045,-1.309590612
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__Portibacter,0.188571865,0.010175113,1,0.817564957,-1.601413525
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__uncultured,9.05E-07,0.872592198,0,2.20688375,-0.081526925
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__uncultured;g__uncultured,0.931146506,0.754359969,0,-0.010737259,0.257236176
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;__;__,0.931146506,0.299916139,0,-0.010737259,0.524162124
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Amoebophilaceae;g__Candidatus_Amoebophilus,0.931146506,0.745496692,0,-0.010737259,-0.175858152
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Amoebophilaceae;g__uncultured,0.174862697,1.74E-05,1,0.355466837,-1.139315405
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cyclobacteriaceae;__,0.009119536,0.002649448,1,1.616863381,-2.034507853
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cyclobacteriaceae;g__Fulvivirga,0.021533111,0.003567736,1,2.919758083,-3.703606651
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cyclobacteriaceae;g__uncultured,2.04E-09,0.019066921,1,3.394485106,-2.223789949
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Hymenobacteraceae;g__Adhaeribacter,0.931146506,0.276597437,0,-0.010737259,0.787599101
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Hymenobacteraceae;g__Hymenobacter,0.931146506,0.89708968,0,-0.010737259,-0.079964128
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Hymenobacteraceae;g__Nibribacter,0.931146506,0.816118163,0,-0.010737259,-0.124474592
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Microscillaceae;g__Flexibacter,0.931146506,0.401628992,0,-0.010737259,-0.311013188
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Microscillaceae;g__OLB12,0.931146506,0.992709905,0,-0.010737259,-0.005582944
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Microscillaceae;g__uncultured,0.931146506,0.722225197,0,-0.010737259,-0.175858152
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__MWH-CFBk5;g__MWH-CFBk5,0.931146506,0.944341448,0,-0.010737259,-0.040703116
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Spirosomaceae;g__Dyadobacter,0.931146506,0.580660298,0,-0.010737259,-0.236632004
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;__;__,0.349790291,0.020187626,1,0.525742045,-1.309590612
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Crocinitomicaceae;g__Crocinitomix,0.172991798,2.15E-04,1,0.451360861,-1.235209429
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Crocinitomicaceae;g__Fluviicola,0.931146506,0.967178465,0,-0.010737259,0.026187116
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Cryomorphaceae;g__uncultured,0.931146506,0.668414351,0,-0.010737259,0.4023422
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Cryomorphaceae;g__Vicingus,0.931146506,0.884774765,0,-0.010737259,-0.079964128
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;__,0.188571865,0.771013722,0,0.817564957,0.32550098
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Actibacter,0.018222767,0.001323292,1,2.169606074,-2.953454641
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Aequorivita,0.931146506,0.474778409,0,-0.010737259,-0.311013188
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Aquibacter,0.931146506,0.93332037,0,-0.010737259,0.055190908
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacteriaceae,0.007331421,5.11E-04,1,2.639547693,-3.423396261
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium,0.931146506,0.221054691,0,-0.010737259,0.874102833
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Mangrovimonas,0.196909987,0.025856393,1,1.07529492,-1.859143488
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Muriicola,0.192330018,0.017662809,1,0.952719993,-1.736568561
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Myroides,0.931146506,0.944341448,0,-0.010737259,-0.040703116
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__NS3a_marine_group,0.931146506,0.622154326,0,-0.010737259,0.503102491
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__NS4_marine_group,0.931146506,0.992709905,0,-0.010737259,-0.005582944
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__NS5_marine_group,0.931146506,0.552108066,0,-0.010737259,0.703827625
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Robiginitalea,2.88E-16,1.38E-21,1,4.60928444,-5.393133008
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Salinimicrobium,0.931146506,0.259457501,0,-0.010737259,-0.406907212
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__uncultured,0.931146506,0.809556276,0,-0.010737259,-0.124474592
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__NS9_marine_group;g__NS9_marine_group,0.931146506,2.97E-17,1,-0.010737259,1.827897573
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__Cloacibacterium,0.931146506,2.14E-04,1,-0.010737259,1.367971013
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__Cruoricaptor,0.931146506,0.638198605,0,-0.010737259,0.190345944
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__Elizabethkingia,0.931146506,0.9128596,0,-0.010737259,0.081871811
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__SM1A07;f__SM1A07;g__SM1A07,0.931146506,0.884774765,0,-0.010737259,-0.079964128
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__AKYH767;g__AKYH767,0.931146506,5.31E-29,1,-0.010737259,1.741666061
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__CWT_CU03-E12;g__CWT_CU03-E12,0.931146506,2.54E-291,1,-0.010737259,4.603127541
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__env.OPS_17;g__env.OPS_17,0.931146506,1.15E-60,1,-0.010737259,3.389286857
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__KD1-131;g__KD1-131,0.931146506,4.24E-13,1,-0.010737259,2.072553965
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__Lentimicrobiaceae;g__Lentimicrobiaceae,0.00617492,4.27E-05,1,1.78102221,2.818471257
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__LiUU-11-161;g__LiUU-11-161,0.931146506,0.968122098,0,-0.010737259,0.026187116
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__S15A-MN91;g__S15A-MN91,0.931146506,0.809556276,0,-0.010737259,-0.124474592
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Mucilaginibacter,0.931146506,1.27E-08,1,-0.010737259,1.532129841
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Pedobacter,0.931146506,0.860665452,0,-0.010737259,0.129572092
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Sphingobacterium,0.931146506,0.992709905,0,-0.010737259,-0.005582944
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__ST-12K33;g__ST-12K33,0.007668862,0.006587442,1,3.157330508,-3.404699772
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__uncultured;g__uncultured,0.18073459,9.43E-05,1,0.525742045,1.5380297
d__Bacteria;p__Bacteroidota;c__Ignavibacteria;o__Ignavibacteriales;__;__,0.021729248,0.32922536,0,2.497989045,1.069273984
d__Bacteria;p__Bacteroidota;c__Ignavibacteria;o__Ignavibacteriales;f__Ignavibacteriaceae;g__Ignavibacterium,0.931146506,3.37E-125,1,-0.010737259,5.761121085
d__Bacteria;p__Bacteroidota;c__Ignavibacteria;o__Ignavibacteriales;f__Ignavibacteriales;g__Ignavibacteriales,0.931146506,0.198805437,0,-0.010737259,0.975896716
d__Bacteria;p__Bacteroidota;c__Ignavibacteria;o__Ignavibacteriales;f__Melioribacteraceae;g__IheB3-7,0.198468474,0.031622786,1,1.164716249,-1.948564817
d__Bacteria;p__Bacteroidota;c__Ignavibacteria;o__Ignavibacteriales;f__PHOS-HE36;g__PHOS-HE36,0.200062339,0.044422114,1,1.375557102,-2.159405669
d__Bacteria;p__Bacteroidota;c__Ignavibacteria;o__Ignavibacteriales;f__SR-FBR-L83;g__SR-FBR-L83,0.931146506,0.809556276,0,-0.010737259,-0.124474592
d__Bacteria;p__Bacteroidota;c__Kapabacteria;o__Kapabacteriales;f__Kapabacteriales;g__Kapabacteriales,0.931146506,1.41E-150,1,-0.010737259,3.615133016
d__Bacteria;p__Bacteroidota;c__Kryptonia;o__Kryptoniales;f__BSV26;g__BSV26,0.01982561,5.92E-12,1,2.107965294,6.231298203
d__Bacteria;p__Bacteroidota;c__Kryptonia;o__Kryptoniales;f__MSB-3C8;g__MSB-3C8,0.931146506,1.03E-128,1,-0.010737259,3.021858778
d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Balneolales;f__Balneolaceae;g__uncultured,0.931146506,0.316700412,0,-0.010737259,0.703827625
d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Rhodothermales;f__Rhodothermaceae;g__uncultured,0.190103279,0.260977083,0,0.868948517,-0.959649904
d__Bacteria;p__Bacteroidota;c__SJA-28;o__SJA-28;f__SJA-28;g__SJA-28,0.931146506,0,1,-0.010737259,6.189618276
d__Bacteria;p__Bdellovibrionota;c__Bdellovibrionia;o__Bacteriovoracales;f__Bacteriovoracaceae;__,0.931146506,0.819807272,0,-0.010737259,0.190345944
d__Bacteria;p__Bdellovibrionota;c__Bdellovibrionia;o__Bacteriovoracales;f__Bacteriovoracaceae;g__Peredibacter,0.931146506,0.312119117,0,-0.010737259,0.56266642
d__Bacteria;p__Bdellovibrionota;c__Bdellovibrionia;o__Bacteriovoracales;f__Bacteriovoracaceae;g__uncultured,0.931146506,0.93332037,0,-0.010737259,0.055190908
d__Bacteria;p__Bdellovibrionota;c__Bdellovibrionia;o__Bdellovibrionales;f__Bdellovibrionaceae;g__Bdellovibrio,0.001442582,0.303870056,0,1.174378761,-0.712337456
d__Bacteria;p__Bdellovibrionota;c__Oligoflexia;o__0319-6G20;f__0319-6G20;g__0319-6G20,0.004239928,1.18E-12,1,1.004103553,3.200892041
d__Bacteria;p__Bdellovibrionota;c__Oligoflexia;o__Oligoflexales;f__uncultured;g__uncultured,0.931146506,2.49E-10,1,-0.010737259,1.009257869
d__Bacteria;p__Bdellovibrionota;c__Oligoflexia;o__Silvanigrellales;f__Silvanigrellaceae;g__Silvanigrella,0.172991798,2.15E-04,1,0.451360861,-1.235209429
d__Bacteria;p__Bdellovibrionota;c__Oligoflexia;o__Silvanigrellales;f__Silvanigrellaceae;g__uncultured,0.931146506,0.868286059,0,-0.010737259,0.055190908
d__Bacteria;p__Caldatribacteriota;c__JS1;o__JS1;f__JS1;g__JS1,0.071749825,0.001066374,1,0.952719993,-1.736568561
d__Bacteria;p__Caldisericota;c__Caldisericia;o__Caldisericales;f__LF045;g__LF045,0.931146506,3.88E-45,1,-0.010737259,2.012250369
d__Bacteria;p__Caldisericota;c__Caldisericia;o__Caldisericales;f__WCHB1-02;g__WCHB1-02,0.931146506,0.27628583,0,-0.010737259,0.591670212
d__Bacteria;p__Calditrichota;c__Calditrichia;o__Calditrichales;f__Calditrichaceae;g__Caldithrix,0.272585932,0.087221618,0,1.400631575,-2.184480143
d__Bacteria;p__Calditrichota;c__Calditrichia;o__Calditrichales;f__Calditrichaceae;g__Calditrichaceae,0.007474291,0.162931276,0,3.417596554,-2.160614185
d__Bacteria;p__Calditrichota;c__Calditrichia;o__Calditrichales;f__Calditrichaceae;g__Calorithrix,0.181990449,0.003038977,1,0.637899457,-1.421748025
d__Bacteria;p__Calditrichota;c__Calditrichia;o__Calditrichales;f__Calditrichaceae;g__SM23-31,0.931146506,0.180099761,0,-0.010737259,1.159919577
d__Bacteria;p__Campilobacterota;c__Campylobacteria;o__Campylobacterales;f__Arcobacteraceae;g__Arcobacteraceae,0.931146506,0.23932662,0,-0.010737259,0.775018991
d__Bacteria;p__Campilobacterota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter,0.931146506,0.417493811,0,-0.010737259,0.456515176
d__Bacteria;p__Campilobacterota;c__Campylobacteria;o__Campylobacterales;f__Helicobacteraceae;g__Helicobacter,0.931146506,1.16E-39,1,-0.010737259,1.967739904
d__Bacteria;p__Campilobacterota;c__Campylobacteria;o__Campylobacterales;f__Sulfurimonadaceae;g__Sulfuricurvum,0.931146506,0.631681984,0,-0.010737259,-0.236632004
d__Bacteria;p__Campilobacterota;c__Campylobacteria;o__Campylobacterales;f__Sulfurovaceae;g__Sulfurovum,0.194804632,0.019290345,1,0.9707424,-1.754590968
d__Bacteria;p__Campilobacterota;c__Campylobacteria;o__Campylobacterales;f__uncultured;g__uncultured,0.931146506,0.193609699,0,-0.010737259,0.970591564
d__Bacteria;p__Chloroflexi;__;__;__;__,0.931146506,7.85E-17,1,-0.010737259,3.412307883
d__Bacteria;p__Chloroflexi;c__AD3;o__AD3;f__AD3;g__AD3,0.931146506,0.089267062,0,-0.010737259,1.598478508
d__Bacteria;p__Chloroflexi;c__Anaerolineae;__;__;__,0.004619706,0.167178396,0,2.130345062,1.137618714
d__Bacteria;p__Chloroflexi;c__Anaerolineae;o__1-20;f__1-20;g__1-20,0.190103279,0.01286549,1,0.868948517,-1.652797085
d__Bacteria;p__Chloroflexi;c__Anaerolineae;o__ADurb.Bin180;f__ADurb.Bin180;g__ADurb.Bin180,0.007413948,0.599490458,0,2.717805704,-0.548533122
